                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7301,                 2.0833,                 1.9249,                0.35561,                0.32031,                 0.2513,                0.08266,                 2.3416,                 3.2724,                 2.7989,              0.0015512,              0.0015512,              0.0015512
                     36,                  1.691,                 2.0239,                 1.9264,                0.35073,                0.36719,                0.29155,                0.10136,                 2.3314,                 2.8535,                 2.7628,               0.001538,               0.001538,               0.001538
                     37,                 1.6337,                 1.9625,                 1.8347,                0.11055,                0.45443,                0.06965,                0.02313,                 2.3165,                 6.7204,                 2.7852,              0.0015248,              0.0015248,              0.0015248
                     38,                  1.598,                 1.8905,                 1.8428,                0.29448,                0.35938,                0.24484,                0.08314,                 2.3262,                 3.1476,                  2.802,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.5792,                 1.9767,                  1.859,                0.36248,                 0.2621,                0.17174,                0.06524,                 2.3235,                 2.8065,                 3.0571,              0.0014984,              0.0014984,              0.0014984
                     40,                 1.6319,                  2.067,                  1.895,                 0.3385,                0.32812,                0.22167,                0.06587,                 2.3945,                 2.7354,                 3.0543,              0.0014852,              0.0014852,              0.0014852
                     41,                 1.6962,                 2.0148,                  1.942,                0.29305,                0.33594,                0.17315,                 0.0637,                 2.3278,                 2.6263,                 2.8188,               0.001472,               0.001472,               0.001472
                     42,                 1.6414,                 1.9822,                  1.815,                0.25975,                0.32812,                0.17456,                0.06544,                 2.3382,                 2.5185,                 2.8047,              0.0014588,              0.0014588,              0.0014588
                     43,                  1.571,                 2.0082,                 1.8172,                0.29977,                0.32031,                0.20346,                0.07699,                 2.1941,                 2.5768,                 2.5686,              0.0014456,              0.0014456,              0.0014456
                     44,                 1.6123,                 1.9745,                 1.8195,                 0.2528,                0.28125,                0.14666,                0.05575,                 2.2974,                 2.7332,                 2.6599,              0.0014324,              0.0014324,              0.0014324
                     45,                 1.6119,                  2.051,                 1.7928,                0.34928,                0.28518,                 0.1885,                0.06828,                 2.3112,                 2.7431,                 2.7314,              0.0014192,              0.0014192,              0.0014192
                     46,                 1.6056,                 1.8999,                 1.8338,                 0.4088,                0.35938,                0.25014,                0.09077,                 2.3385,                 2.5372,                 2.7364,               0.001406,               0.001406,               0.001406
                     47,                 1.5543,                 1.9182,                  1.835,                0.41985,                0.34375,                0.26055,                0.09298,                 2.2911,                 2.4773,                 2.6496,              0.0013928,              0.0013928,              0.0013928
